iter	Passed	Remaining
605	1455	946
606	1457	943
607	1461	942
608	1462	939
609	1464	936
610	1465	933
611	1469	931
612	1472	929
613	1474	926
614	1476	924
615	1479	922
616	1480	919
617	1484	917
618	1486	915
619	1488	912
620	1491	910
621	1492	907
622	1494	904
623	1496	901
624	1500	900
625	1501	897
626	1503	894
627	1505	891
628	1507	889
629	1510	886
630	1511	884
631	1515	882
632	1516	879
633	1519	876
634	1520	874
635	1522	871
636	1524	868
637	1526	866
638	1531	865
639	1534	863
640	1539	862
641	1541	859
642	1543	856
643	1549	856
644	1554	855
645	1556	852
646	1558	850
647	1565	850
648	1567	847
649	1569	845
650	1572	842
651	1578	842
652	1580	840
653	1582	837
654	1584	834
655	1586	832
656	1588	829
657	1590	826
658	1594	825
659	1596	822
660	1598	819
661	1600	817
662	1602	814
663	1604	811
664	1608	810
665	1610	807
666	1614	806
667	1616	803
668	1618	800
669	1619	797
670	1621	794
671	1625	793
672	1627	790
673	1629	788
674	1631	785
675	1634	783
676	1636	780
677	1640	778
678	1642	776
679	1644	773
680	1646	771
681	1648	768
682	1650	766
683	1654	764
684	1656	761
685	1658	758
686	1660	756
687	1661	753
688	1663	751
689	1666	748
690	1669	746
691	1672	744
692	1674	741
693	1679	740
694	1683	738
695	1686	736
696	1689	734
697	1691	731
698	1692	728
699	1694	726
700	1698	724
701	1701	722
702	1703	719
703	1704	716
704	1706	713
705	1707	711
706	1709	708
707	1716	707
708	1718	705
709	1720	702
710	1722	699
711	1723	697
712	1725	694
713	1729	692
714	1730	689
715	1732	687
716	1733	684
717	1735	681
718	1737	678
719	1738	676
720	1740	673
721	1744	671
722	1746	668
723	1747	666
724	1749	663
725	1750	660
726	1752	657
727	1753	655
728	1754	652
729	1756	649
730	1762	648
731	1764	645
732	1767	643
733	1768	640
734	1770	638
735	1771	635
736	1775	633
737	1777	630
738	1778	628
739	1780	625
740	1781	622
741	1783	619
742	1784	617
743	1786	614
744	1789	612
745	1791	609
746	1792	607
747	1794	604
748	1795	601
749	1797	599
750	1798	596
751	1800	593
752	1801	591
753	1805	589
754	1808	586
755	1809	584
756	1811	581
757	1813	578
758	1814	576
759	1816	573
760	1821	571
761	1823	569
762	1824	566
763	1826	564
764	1828	561
765	1829	558
766	1831	556
767	1834	554
768	1836	551
769	1838	549
770	1839	546
771	1841	543
772	1843	541
773	1845	538
774	1847	536
775	1851	534
776	1853	531
777	1856	529
778	1857	526
779	1859	524
780	1860	521
781	1862	519
782	1865	517
783	1867	514
784	1869	511
785	1870	509
786	1872	506
787	1874	504
788	1875	501
789	1877	499
790	1880	496
791	1882	494
792	1883	491
793	1885	489
794	1886	486
795	1888	483
796	1890	481
797	1891	478
798	1893	476
799	1896	474
800	1898	471
801	1900	469
802	1902	466
803	1904	464
804	1905	461
805	1907	459
806	1910	456
807	1912	454
808	1913	451
809	1915	449
810	1916	446
811	1918	444
812	1920	441
813	1921	439
814	1923	436
815	1926	434
816	1928	431
817	1930	429
818	1931	426
819	1933	424
820	1934	421
821	1936	419
822	1938	416
823	1942	414
824	1943	412
825	1945	409
826	1947	407
827	1949	404
828	1951	402
829	1953	400
830	1957	398
831	1959	395
832	1961	393
833	1963	390
834	1964	388
835	1966	385
836	1967	383
837	1970	380
838	1972	378
839	1973	375
840	1975	373
841	1977	371
842	1979	368
843	1981	366
844	1982	363
845	1986	361
846	1987	359
847	1989	356
848	1990	354
849	1991	351
850	1992	348
851	1993	346
852	1995	343
853	1996	341
854	1997	338
855	1998	336
856	1999	333
857	2001	331
858	2003	328
859	2004	326
860	2005	323
861	2006	321
862	2007	318
863	2008	316
864	2009	313
865	2011	311
866	2012	308
867	2013	306
868	2014	303
869	2016	301
870	2017	298
871	2018	296
872	2019	293
873	2020	291
874	2021	288
875	2022	286
876	2024	283
877	2025	281
878	2026	278
879	2027	276
880	2028	273
881	2029	271
882	2031	269
883	2032	266
884	2033	264
885	2034	261
886	2035	259
887	2036	256
888	2037	254
889	2039	252
890	2040	249
891	2041	247
892	2042	244
893	2043	242
894	2044	239
895	2046	237
896	2048	235
897	2049	232
898	2050	230
899	2052	228
900	2053	225
901	2055	223
902	2056	220
903	2058	218
904	2061	216
905	2062	214
906	2064	211
907	2065	209
908	2066	206
909	2067	204
910	2068	202
911	2069	199
912	2071	197
913	2072	194
914	2073	192
915	2077	190
916	2078	188
917	2079	185
918	2080	183
919	2082	181
920	2083	178
921	2084	176
922	2085	174
923	2087	171
924	2088	169
925	2089	166
926	2091	164
927	2092	162
928	2093	160
929	2094	157
930	2095	155
931	2096	152
932	2098	150
933	2099	148
934	2100	146
935	2101	143
936	2102	141
937	2103	139
938	2105	136
939	2106	134
940	2107	132
941	2108	129
942	2109	127
943	2110	125
944	2112	122
945	2113	120
946	2114	118
947	2115	116
948	2116	113
949	2117	111
950	2118	109
951	2120	106
952	2121	104
953	2123	102
954	2124	100
955	2125	97
956	2126	95
957	2127	93
958	2128	91
959	2130	88
960	2131	86
961	2132	84
962	2133	81
963	2136	79
964	2137	77
965	2139	75
966	2140	73
967	2141	70
968	2143	68
969	2144	66
970	2145	64
971	2146	61
972	2147	59
973	2148	57
974	2151	55
975	2152	52
976	2153	50
977	2154	48
978	2155	46
979	2156	44
980	2157	41
981	2158	39
982	2160	37
983	2161	35
984	2162	32
985	2163	30
986	2164	28
987	2166	26
988	2167	24
989	2168	21
990	2169	19
991	2170	17
992	2171	15
993	2172	13
994	2173	10
995	2174	8
996	2175	6
997	2176	4
998	2178	2
999	2179	0
